المقرر,المتطلب 
حاكر-015,-
حاكر-016,-
حامي-101,-
حامي-102,-
حامي-105,-
حامي-111,-
حامي-131,كيمي111
حامي-171,كيمي111
حامي-203,-
حامي-204,-
حامي-221,احيا101
حامي-232,كيمي111
حامي-233, حامي131 حامي232 
حامي-251,حامي102
حامي-252,حامي102
حامي-253,احيا101
حامي-254,حامي102
حامي-261,حامي111
حامي-281,احصا111 احصا101
حامي-288,جميع مقررات الخطة
حامي-291,حامي232
حامي-299,جميع مقررات الخطة
حائك-001,-
حائك-003,-
حائك-005,-
حائك-007,-
حجاج-123,-
حجاج-124,-
حجاج-125,-
حجاج-201,-
حجاج-288,جميع مقررات الخطة
حجاج-299,جميع مقررات الخطة
حلاق-001,-
حلاق-002, حلاق001 حلاق021 
حلاق-011,حلاق021
حلاق-013,-
حلاق-021,-
حلاق-041,-
حلاق-042, حلاق001 حلاق021 
حلاق-043,-
حلاق-051, حلاق001 حلاق021 
حلاق-052, حلاق001 حلاق021 
حلاق-061, حلاق001 حلاق021 
حلاق-071,حلاق013
حلاق-072,-
حلاق-073,-
حلاق-076,-
حلاق-081,-
حلاق-082,حلاق081
حلاق-085,-
حلاق-091,-
حلاق-098,-
ختطك-111,-
ختطك-112,ختطك111
ختطك-121,-
ختطك-131,-
ختطك-141,ختطك111
ختطك-151,-
ختطك-232,ختطك131
ختطك-242,ختطك141
ختطك-243,-
ختطك-244,رياض171
ختطك-252,ختطك151
ختطك-261,-
ختطك-271,-
ختطك-288,جميع مقررات الخطة
ختطك-290, ختطك243 ختطك121 ختطك131 ختطك242 
ختطك-296,-
ختطك-299,جميع مقررات الخطة
خياط-001,-
خياط-002,-
خياط-003,-
خياط-004,-
خياط-006,-
خياط-007,-
خياط-011,-
خياط-012,-
خياط-013,-
خياط-014,-
خياط-041,-
خياط-042,خياط041
خياط-046,-
خياط-061,-
خياط-062,-
خياط-073,-
خياط-081,-
خياط-085,-
خياط-086,-
خياط-087,-
خياط-091,-
خياط-098,-
داجن-101,-
داجن-111,-
داجن-131,-
داجن-141,-
داجن-151,داجن111
داجن-221,-
داجن-222,-
داجن-242,-
داجن-243,داجن221
داجن-252,داجن111
داجن-253,داجن151
داجن-261,-
داجن-262,-
داجن-271,-
داجن-281,داجن141
داجن-282,-
داجن-288,جميع مقررات الخطة
داجن-291,-
داجن-299,جميع مقررات الخطة
داخل-101,-
داخل-102,داخل101
داخل-111,-
داخل-121,-
داخل-122,داخل121
داخل-123,-
داخل-131,-
داخل-132,-
داخل-203,داخل102
داخل-204,داخل203
داخل-205,-
داخل-206,-
داخل-212,داخل111
داخل-213,داخل212
داخل-225,داخل122
داخل-233,-
داخل-235,داخل111
داخل-241,-
داخل-288,جميع مقررات الخطة
داخل-299,جميع مقررات الخطة
داعم-111,-
داعم-151,حاسب121
داعم-221,-
داعم-252,حاسب121
داعم-288,جميع مقررات الخطة
داعم-295,شبكا121 داعم226
داعم-299,جميع مقررات الخطة
دهان-001,-
دهان-011,-
دهان-012,-
دهان-021,-
دهان-023,-
دهان-024,دهان021
دهان-031,-
دهان-032,-
دهان-033,دهان011
دهان-034,-
دهان-035,-
دهان-036,-
دهان-041,-
دهان-042,-
دهان-043,-
دهان-044,-
دهان-045,-
دهان-051,-
دهان-052,-
دهان-091,-
دهان-092,-
دهان-098,-
ربوت-113, الكت102 حاسب101 
ربوت-114,-
ربوت-121,-
ربوت-122,اجدق122
ربوت-124,ربوت114
ربوت-203,ربوت121
ربوت-204,ربوت114
ربوت-205,-
ربوت-206,اجدق121
ربوت-212,ربوت204
ربوت-288,جميع مقررات الخطة
ربوت-291,ربوت121
ربوت-299,جميع مقررات الخطة
رسمع-011,-
رسمع-021,-
رسمع-022,رسمع021
رسمع-031,-
رسمع-032,رسمع031
رسمع-041,-
رسمع-042,رسمع041
رسمع-043,-
رسمع-051,-
رسمع-052,رسمع051
رسمع-053,-
رسمع-061,-
رسمع-063,رسمع061
رسمع-064,-
رسمع-071,رسمع011
رسمع-091,-
رسمع-098,-
رياد-101,-
رياد-171,-
رياد-212,رياد101 مهني101
رياد-222,رياد101 مهني101
رياد-224,رياد101 مهني101
رياد-226,رياد101 مهني101
رياد-228,رياد101 مهني101
رياد-232,رياد101 مهني101
رياد-234,رياد101 مهني101
رياد-236,رياد101 مهني101
رياد-242,رياد101 مهني101
رياد-243,رياد101 مهني101
رياد-244,رياد101 مهني101
رياد-246,رياد101 مهني101
رياد-248,رياد101 مهني101
رياد-252,رياد101 مهني101
رياد-254,رياد101 مهني101
رياد-262,رياد101 مهني101
رياد-264,رياد101 مهني101
رياد-266,رياد101 مهني101 كابز101
رياد-272,رياد101 مهني101
رياد-282,رياد101 مهني101
رياد-284,رياد101 مهني101
رياض-001,-
رياض-002,رياض001
رياض-003,رياض002
رياض-101,-
رياض-121,-
رياض-171,-
رياض-301,-
رياض-302,رياض301
رياض-303,رياض301
رياض-304,-
رياض-381,رياض301
سافر-101,-
سافر-102,-
سافر-110,-
سافر-121,-
سافر-131,-
سافر-141,-
سافر-203,-
سافر-211,-
سافر-243,-
سافر-251,-
سافر-252,سافر121
سافر-260,-
سافر-261,-
سافر-271,-
سافر-288,جميع مقررات الخطة
سافر-299,جميع مقررات الخطة
سلام-111,-
سلام-121, كيمي111 احيا111 
سلام-141,سلام111
سلام-142,-
سلام-171,-
سلام-211,سلام142
سلام-222,سلام121
سلام-223,-
سلام-231,سلام121
سلام-251,-
